,text,label_human,label,label_leia,label_gpt
0,"there are so many questions i have honestlywhat is the counterargument to the ""communism works _in theory_ because human nature"" rherotic other than ""capitalism is worse"" ? how are we sure wed be able to enforce something like that ? would it have to be totalitarian ?im not as smart as i wish i was",Affection,Affection,Happiness,Fear
1,"I'm just gonna stop looking for my ""one"" and just play video games. Its useless",Sadness,Sadness,Sadness,Sadness
2,I want you so bad. So bad. I miss you.,Affection,Sadness,Sadness,Affection
3,"i want to help people, i want to do good, i want to be a good friend but sometimes, i cannot carry the weight of other people's problems when i am collapsing underneath my own because i have feelings and my own demons as well ",Sadness,Sadness,Sadness,Sadness
4,Keeping it positive no matter how negative it is! If I can do it you can do it!#cheering y'all!,Happiness,Happiness,Happiness,Happiness
5,We are going to travel the world together one day. ,Happiness,Happiness,Happiness,Affection
6,Fish Mooneys makeup in Gotham is so freaking beautiful 💘,Affection,Affection,Happiness,Affection
7,Is there some unspoken rule that headphones HAVE to stop working after only having them for a few months??? ,Anger,Fear,Anger,Anger
8,Oh my god u guys were really about s4 of pll,Happiness,Happiness,Sadness,Surprise/Excitement
9,"Guys, I just want you to remember that your worth is not determined by your failures or your success 💕",Affection,Affection,Happiness,Affection
10,I get to go home today and I get my new phone today!,Happiness,Happiness,Affection,Happiness
11,I am so mad at my computer right now I could PISS FIRE,Anger,Anger,Anger,Anger
12,Ok but can you just go the fuck to sleep? I don't need your drunken yellyness right now. I'm already feeling pretty shit.,Anger,Fear,Anger,Anger
13,Can I just kinda leave I'm so done with chemistry,Sadness,Fear,Anger,Anger
14,I want some friends in my new area but I have no idea how to make friends!,Sadness,Sadness,Sadness,Sadness
15,24 DAYS UNTIL CHRISTMAS YALL YEE MY FIRST CHRISTMAS ON VENT OML,Happiness,Happiness,Affection,Happiness
16,hhh i cant take this anymore,Anger,Anger,Sadness,Sadness
17,Why can't everything be more simple?,Sadness,Anger,Fear,Sadness
18,"I wonder what having a relationship is like, can't wait to experience it with someone that I can see having s potential future with, just the thought of it excites me ",Affection,Affection,Happiness,Affection
19,"My boyfriend <3 <3 <3 <3 I can't wait to see him again, oh my gosh. I won't say today was perfect, but I had a really good time with him. I really didn't want him to leave. And I probably won't see him for at least a week.... He has exams next week, so he needs to study and he has reports to write. I should take this time to refocus myself as well. ",Affection,Affection,Happiness,Affection
20,I really hope he's not mad at me,Fear,Fear,Fear,Fear
21,"I want you to do me a favor tonight. When you're outside, look up at the sky. See the stars and the moon. Take it all in, and realize that in the entire universe, with every possibility, every challenge, you are still here. That has to count for something. Just think about it. Any planet, with infinite possibilities of life, and you ended up here. You're made up of the very elements forged from stars, all coming together to make you who you are. Every rock and piece of debris pushed everything into perfect place, just so you could be here, so you could have room to move and live in. When you were born, it wasn't just you floating along at your own leisurely pace. You competed with millions upon millions of other cells, all fighting to do what you accomplished. You've made it through every setback, every sickness, every problem and battle and struggle. I will always bet on you making it, because I know you can. You've made it through 100% of everything life has thrown at you, so I know that you can make it through anything that comes your way, and those are odds I'm willing to bet on",Affection,Affection,Happiness,Affection
22,I'm so busy this weekend that I have no time to cheer up my chronically depressed best friend. All of the activities are mandatory and it makes me look like a jerk.,Sadness,Anger,Fear,Sadness
23,"Tomorrow is Bhai Dooj & i'm sure 98% of my listeners don't know about this festival but stillHappy Bhaiya Dooj :)What is Bhaiya Dooj ? Bhai Dooj is festival of prayers from sister to brother, brother's protection for her sister. May this year we all celebrate it with even more love and protection for our sisters and brothers. Best wishes on this Bhai Dooj.",Happiness,Happiness,Affection,Affection
24,Woke up at 4am...still cannot fall asleep and I have a horrid headache...grrr,Anger,Anger,Anger,Anger
25,"I'm so constantly frustrated with my girlfriend and all I can do is talk about it here because if I talk to online friends, they'll tell me to dump her for another friend. If I tell online friends, they won't care. I'm not out to all of my family and it's not like they care either. It's just soo fucking frustrating.",Sadness,Anger,Anger,Anger
26,okay go ahead and ignore me,Sadness,Sadness,Anger,Anger
27,When will I actually learn that watching scary movies makes me paranoid an delusional as fuck like Jesus fucking Christ I'm trying to clean my room and get my mind off of it but every other second I'm looking over my shoulder making sure nothing's going to kill meAnd tbh whatever wants to kill me knows I'm typing this and he's probably getting mad,Fear,Fear,Fear,Fear
28,I feel weird and empty and sad and happy and wtf what is happening oh god,Fear,Fear,Fear,Sadness
29,I wish I could turn back the time and be wiser.,Sadness,Sadness,Sadness,Sadness
